gene	H2621_L	HP25311_L	HP25337_L	HU1327_L	UWHI366R_L	H2621_H	HP25311_H	HP25337_H	HU1327_H	UWHI366R_H
HCFC1R1	7.566353644	17.26126167	14.57775923	16.3386561	12.80657626	8.163700965	16.94650126	11.9882555	13.50386042	14.6797338
NEURL2	1.419624013	2.461868737	3.979088599	1.831622417	2.045814582	1.565435765	2.426556943	3.788738983	1.793686297	1.655723859
PRSS23	6.277988253	13.02659312	4.174370471	6.402595809	8.74103162	6.970983485	12.11082299	5.532957772	6.613902545	8.387497295
SIPA1	1.663426553	2.074486222	3.73576922	4.422970661	2.084145581	1.594446463	2.196398284	2.475533831	4.799564115	2.207923125
SMPD2	6.198627202	5.31074368	4.47165134	4.576216172	5.383914961	6.413263557	5.276014423	4.591410939	4.230470993	4.767540408
MOCS2	2.957849012	5.124649356	2.123646585	4.481542061	4.23927134	3.477346471	5.990591497	3.062733067	3.681979268	3.996791735
LRRCC1	1.258213221	2.033484576	0.702800533	1.499945568	1.571545624	1.706550631	2.01080712	0.968374525	1.690264978	1.241463175
COA5	6.578869669	9.635242144	2.751148587	8.704217743	6.304720835	6.808714978	9.470447971	4.568117071	7.99180291	6.601709124
SFT2D2	11.87978071	13.69265599	7.181821758	11.48096095	16.19916859	12.61064695	13.72436458	10.84847798	10.71475808	15.17310491
LYSMD2	11.27581195	15.667112	5.195597899	13.63000473	9.900841235	12.04904009	18.35083367	7.591244502	12.72241347	8.624930468
MED31	2.183842218	3.598609573	1.8772598	3.13282444	2.967704052	2.659243881	3.025350624	3.349603171	2.770037248	3.39235875
MOB2	2.89663182	3.201042404	3.432349731	2.745174858	2.403603108	2.819719934	2.545111361	3.701660498	2.961667732	2.346902057
MAMDC4	1.37889572	1.394439001	0.842859534	1.544862521	1.397817748	1.470983318	1.398650422	0.871588891	1.601737791	0.99709215
RPS9	196.2655816	193.9119229	178.2385449	142.8310607	161.6617396	207.3050433	196.3656661	156.3551266	130.1155923	168.7198347
KIAA1456	0.769225193	1.61956019	0.279889397	1.385466232	0.812229423	0.70497376	1.494312062	0.477259037	1.19582679	0.641058451
ABHD16A	7.618813961	9.204489518	4.751918547	9.086297566	6.831653323	7.93905726	9.754253046	5.42222395	8.265621275	5.444018146
TCFL5	2.742743401	2.769263723	3.109411811	2.595180114	2.542036485	2.553661288	3.08652229	2.111910635	2.655652572	2.612459945
IPPK	4.897673326	4.736381519	3.486016653	3.828332136	5.111831995	4.425434091	4.491763785	3.683913458	4.505041814	4.368360301
ZNF212	3.52527405	3.43463616	2.474042192	3.863689222	3.98292272	4.357763603	3.87571969	2.977471329	4.583484443	2.965212904
CEL	66.80303965	7.233241488	25.67105714	1.361741071	7.049529056	64.1703219	6.853266588	10.89262965	1.794025402	9.670072502
TP53I3	6.817900138	6.524254654	3.484514438	4.81285113	5.916822791	5.439227379	6.567462623	6.606024588	5.827080982	5.43393511
SFXN5	1.734203143	2.011794593	1.783616985	2.019304335	1.647518773	1.694299643	2.11792702	1.821438725	1.996703627	1.442571453
IMPDH1	5.4754257	7.741256731	6.29197993	7.952003697	7.461731445	5.257200433	8.207683562	4.54005324	8.141335008	7.884206856
TOR1A	6.158649353	8.359130529	5.868633668	7.852532607	7.350568267	6.694085931	8.040565449	5.946276127	7.748848222	6.447690881
CDK4	13.1720828	15.52532036	12.05171699	12.94446188	17.83344475	14.76417805	16.04295111	15.94067451	12.22460299	16.89423816
ELAC2	9.860316254	9.784897209	8.341963665	9.998233984	10.3005949	10.05345242	9.248318035	10.11708337	9.19741587	8.994459597
NDUFB9	13.78499698	23.33749748	16.64861503	15.58828251	19.62332886	15.40451309	21.84982406	15.10852396	14.35926364	19.90977136
IFT74	5.593720954	7.358602145	2.535357632	5.831291719	5.557266089	6.141558156	6.846887909	3.854697286	5.891331032	5.35750937
CDKL1	2.160557284	0.987221891	1.575283951	1.0100269	1.736652928	1.830584191	1.138935999	2.687814395	1.365474271	1.282700602
